Well	ID	plate	A260	A280	conc_corr_Fact	stock_nmoles	obs_source_MW	exp_conc	obs_conc	corr_obs_conc	exp_molarity	obs_molarity	delta_molarity	source_obs_molarity	dilution_factor_for_100uM	TSO_vol_for_100uM	H20_vol_for_100uM	TSO_vol_for_100uM_2	H2O_vol_for_100uM_2
B8	20	1	32.2536666666667	18.104	31.55	91	13973.4	1397.34	1613	1017.803	100	72.8386076402307	27.1613923597693	728.386076402307	7.28386076402307	2.74579658342528	17.2542034165747	3	18.8515822920692
B9	21	1	37.3016666666667	20.4843333333333	31.0697674418605	96	13989.9	1398.99	1865.33333333333	1159.10945736434	100	82.853305410642	17.146694589358	828.53305410642	8.2853305410642	2.41390490106278	17.5860950989372	3	21.8559916231926
B10	22	1	27.062	15.202	31.063829787234	105	13996.3	1399.63	1353.33333333333	840.794326241135	100	60.072613922332	39.927386077668	600.72613922332	6.0072613922332	3.32930410284095	16.6706958971591	3	15.0217841766996
B11	23	1	33.9496666666667	19.0466666666667	31.025	89	13955	1395.5	1697.66666666667	1053.40216666667	100	75.485644332975	24.514355667025	754.85644332975	7.5485644332975	2.64951040382962	17.3504895961704	3	19.6456932998925
B12	24	1	70.294	40.4946666666667	31.3	90	13988	1398.8	3514.66666666667	2200.18133333333	100	157.290630063864	-57.2906300638643	1572.90630063864	15.7290630063864	1.27153155861093	18.7284684413891	3	44.1871890191593
C1	25	1	29.239	17.0446666666667	31.4418604651163	97	13947.1	1394.71	1462	919.36	100	65.917645962243	34.082354037757	659.17645962243	6.5917645962243	3.03408893143056	16.9659110685694	3	16.7752937886729
C2	26	1	26.7036666666667	15.9286666666667	31.8536585365854	94	13906.5	1390.65	1335	850.492682926829	100	61.1579249219307	38.8420750780693	611.579249219307	6.11579249219307	3.27022213810073	16.7297778618993	3	15.3473774765792
C3	27	1	38.3893333333333	22.031	31	84	13979.3	1397.93	1919.33333333333	1189.98666666667	100	85.1249108801347	14.8750891198653	851.249108801347	8.51249108801347	2.34948850967518	17.6505114903248	3	22.5374732640404
C4	28	1	27.6546666666667	15.5133333333333	31.1463414634146	92	13940.8	1394.08	1382.66666666667	861.300162601626	100	61.7826927150254	38.2173072849746	617.826927150254	6.17826927150254	3.23715252947142	16.7628474705286	3	15.5348078145076
C5	29	1	25.288	14.325	31.7647058823529	78	13928.9	1392.89	1264.33333333333	803.223529411765	100	57.6659699912961	42.3340300087039	576.659699912961	5.76659699912961	3.46824999267657	16.5317500073234	3	14.2997909973888
C6	30	1	29.4613333333333	16.1236666666667	31.1627906976744	96	13949.3	1394.93	1473	918.055813953488	100	65.8137550954878	34.1862449045122	658.137550954878	6.58137550954878	3.03887841849814	16.9611215815019	3	16.7441265286464
C7	31	1	21.427	11.9013333333333	31.6111111111111	82	13953	1395.3	1071.33333333333	677.320740740741	100	48.543018758743	51.456981241257	485.43018758743	4.8543018758743	4.12005691269413	15.8799430873059	3	11.5629056276229
C8	32	1	25.345	14.407	31.5789473684211	86	13943.3	1394.33	1267	800.210526315789	100	57.3903255553412	42.6096744446588	573.903255553412	5.73903255553412	3.48490791896869	16.5150920810313	3	14.2170976666024
C9	33	1	31.704	18.2103333333333	31.9166666666667	82	13968.7	1396.87	1585.33333333333	1011.97111111111	100	72.4456184978639	27.5543815021361	724.456184978639	7.24456184978639	2.76069145583866	17.2393085441613	3	18.7336855493592
C10	34	1	31.7606666666667	17.8373333333333	31.8333333333333	82	13914.9	1391.49	1587.66666666667	1010.81444444444	100	72.6425949481811	27.3574050518189	726.425949481811	7.26425949481811	2.75320561087704	17.246794389123	3	18.7927784844543
C11	35	1	28.981	17.0413333333333	31.6190476190476	96	13902.2	1390.22	1449	916.32	100	65.9118700637309	34.0881299362691	659.118700637309	6.59118700637309	3.03435481054653	16.9656451894535	3	16.7735610191193
C12	36	1	32.5476666666667	18.242	31.7209302325581	98	13971.5	1397.15	1627.33333333333	1032.41054263566	100	73.8940373356947	26.1059626643053	738.940373356947	7.38940373356947	2.70657832771291	17.2934216722871	3	19.1682112007084
D1	37	1	36.1796666666667	20.9746666666667	31.6388888888889	82	13989.4	1398.94	1809	1144.695	100	81.8258824538579	18.1741175461421	818.258824538579	8.18258824538579	2.44421439772166	17.5557856022783	3	21.5477647361574
