Well	ID	plate	A260	A280	exp_concentration	obs_concentration	exp_molarity	obs_molarity	delta_molarity	source_obs_molarity	dilution_factor_for_100uM
C12	36	1	32.5476666666667	18.242	1400	904.825133333333	100	64.6303666666667	35.3696333333333	646.303666666667	6.46303666666667
D1	37	1	36.1796666666667	20.9746666666667	1400	1005.79473333333	100	71.842480952381	28.157519047619	718.424809523809	7.18424809523809
D2	38	1	38.86	21.395	1400	1080.308	100	77.1648571428571	22.8351428571429	771.648571428571	7.71648571428571
D3	39	1	36.1416666666667	20.577	1400	1004.73833333333	100	71.7670238095238	28.2329761904762	717.670238095238	7.17670238095238
D4	40	1	38.5156666666667	21.945	1400	1070.73553333333	100	76.4811095238095	23.5188904761905	764.811095238095	7.64811095238095
D5	41	1	32.989	18.9406666666667	1400	917.0942	100	65.5067285714286	34.4932714285714	655.067285714286	6.55067285714286
D6	42	1	34.7723333333333	19.26	1400	966.670866666667	100	69.047919047619	30.952080952381	690.479190476191	6.9047919047619
D7	43	1	32.0203333333333	17.722	1400	890.165266666667	100	63.5832333333333	36.4167666666667	635.832333333333	6.35832333333333
D8	44	1	31.3963333333333	17.6956666666667	1400	872.818066666667	100	62.3441476190476	37.6558523809524	623.441476190476	6.23441476190476
D9	45	1	36.6336666666667	20.8783333333333	1400	1018.41593333333	100	72.7439952380952	27.2560047619048	727.439952380952	7.27439952380952
D10	46	1	36.256	20.2966666666667	1400	1007.9168	100	71.9940571428571	28.0059428571429	719.940571428572	7.19940571428571
D11	47	1	37.9933333333333	21.5903333333333	1400	1056.21466666667	100	75.4439047619047	24.5560952380953	754.439047619047	7.54439047619047
D12	48	1	36.354	21.2076666666667	1400	1010.6412	100	72.1886571428572	27.8113428571428	721.886571428572	7.21886571428572
E1	49	1	39.429	23.2176666666667	1400	1096.1262	100	78.2947285714286	21.7052714285714	782.947285714286	7.82947285714286
E2	50	1	31.718	19.2166666666667	1400	881.7604	100	62.9828857142857	37.0171142857143	629.828857142857	6.29828857142857
E3	51	1	26.282	16.1283333333333	1400	730.6396	100	52.1885428571429	47.8114571428571	521.885428571429	5.21885428571429
E4	52	1	17.7353333333333	9.86466666666667	1400	493.042266666667	100	35.2173047619048	64.7826952380952	352.173047619048	3.52173047619048
E5	53	1	0.001	0.0166666666666667	1400	0.0278	100	0.00198571428571429	99.9980142857143	0.0198571428571429	0.000198571428571429
E6	54	1	-0.000666666666666667	0.009	1400	-0.0185333333333333	100	-0.00132380952380952	100.001323809524	-0.0132380952380952	-0.000132380952380952
E7	55	1	31.5883333333333	16.4243333333333	1400	878.155666666667	100	62.7254047619048	37.2745952380952	627.254047619048	6.27254047619048
E8	56	1	0.000333333333333333	0.013	1400	0.00926666666666667	100	0.000661904761904762	99.9993380952381	0.00661904761904762	6.61904761904762e-05
E9	57	1	44.59	24.4326666666667	1400	1239.602	100	88.543	11.457	885.43	8.8543
E10	58	1	33.0206666666667	18.4783333333333	1400	917.974533333333	100	65.5696095238095	34.4303904761905	655.696095238095	6.55696095238095
E11	59	1	33.1696666666667	18.7096666666667	1400	922.116733333333	100	65.865480952381	34.134519047619	658.65480952381	6.5865480952381
E12	60	1	33.5263333333333	19.1113333333333	1400	932.032066666667	100	66.5737190476191	33.4262809523809	665.737190476191	6.65737190476191
F1	61	1	31.023	17.3626666666667	1400	862.4394	100	61.6028142857143	38.3971857142857	616.028142857143	6.16028142857143
F2	62	1	27.8763333333333	15.6303333333333	1400	774.962066666667	100	55.3544333333333	44.6455666666667	553.544333333333	5.53544333333333
F3	63	1	40.374	21.931	1400	1122.3972	100	80.1712285714286	19.8287714285714	801.712285714286	8.01712285714286
F4	64	1	26.544	15.186	1400	737.9232	100	52.7088	47.2912	527.088	5.27088
F5	65	1	29.271	16.5296666666667	1400	813.7338	100	58.1238428571429	41.8761571428571	581.238428571429	5.81238428571429
F6	66	1	30.9646666666667	17.2963333333333	1400	860.817733333333	100	61.486980952381	38.513019047619	614.86980952381	6.1486980952381
F7	67	1	27.1906666666667	15.5663333333333	1400	755.900533333333	100	53.9928952380952	46.0071047619048	539.928952380952	5.39928952380952
F8	68	1	25.9126666666667	15.005	1400	720.372133333333	100	51.4551523809524	48.5448476190476	514.551523809524	5.14551523809524
F9	69	1	24.7326666666667	14.6956666666667	1400	687.568133333333	100	49.1120095238095	50.8879904761905	491.120095238095	4.91120095238095
F10	70	1	22.343	13.4286666666667	1400	621.1354	100	44.3668142857143	55.6331857142857	443.668142857143	4.43668142857143
F11	71	1	31.5233333333333	17.775	1400	876.348666666667	100	62.5963333333333	37.4036666666667	625.963333333333	6.25963333333333
F12	72	1	91.107	54.952	1400	2532.7746	100	180.912471428571	-80.9124714285714	1809.12471428571	18.0912471428571
G1	73	1	42.3396666666667	23.74	1400	1177.04273333333	100	84.0744809523809	15.9255190476191	840.744809523809	8.40744809523809
G2	74	1	28.263	16.4036666666667	1400	785.7114	100	56.1222428571429	43.8777571428571	561.222428571429	5.61222428571429
G3	75	1	32.6433333333333	19.2303333333333	1400	907.484666666667	100	64.8203333333333	35.1796666666667	648.203333333333	6.48203333333333
G4	76	1	35.4246666666667	19.539	1400	984.805733333333	100	70.3432666666667	29.6567333333333	703.432666666667	7.03432666666667
G5	77	1	31.915	18.0863333333333	1400	887.237	100	63.3740714285714	36.6259285714286	633.740714285714	6.33740714285714
G6	78	1	29.129	15.6806666666667	1400	809.7862	100	57.8418714285714	42.1581285714286	578.418714285714	5.78418714285714
G7	79	1	23.076	12.9626666666667	1400	641.5128	100	45.8223428571429	54.1776571428571	458.223428571429	4.58223428571429
G8	80	1	24.854	14.2096666666667	1400	690.9412	100	49.3529428571429	50.6470571428571	493.529428571429	4.93529428571429
G9	81	1	28.8116666666667	15.5923333333333	1400	800.964333333333	100	57.2117380952381	42.7882619047619	572.117380952381	5.72117380952381
G10	82	1	24.901	13.9426666666667	1400	692.2478	100	49.4462714285714	50.5537285714286	494.462714285714	4.94462714285714
G11	83	1	28.484	15.6606666666667	1400	791.8552	100	56.5610857142857	43.4389142857143	565.610857142857	5.65610857142857
G12	84	1	-0.011	-0.00866666666666667	1400	-0.3058	100	-0.0218428571428571	100.021842857143	-0.218428571428571	-0.00218428571428571
H1	85	1	32.0596666666667	17.8616666666667	1400	891.258733333333	100	63.6613380952381	36.3386619047619	636.613380952381	6.36613380952381
H2	86	1	34.6503333333333	19.5293333333333	1400	963.279266666667	100	68.8056619047619	31.1943380952381	688.056619047619	6.88056619047619
H3	87	1	38.86	22.2586666666667	1400	1080.308	100	77.1648571428571	22.8351428571429	771.648571428571	7.71648571428571
H4	88	1	41.249	22.3703333333333	1400	1146.7222	100	81.9087285714286	18.0912714285714	819.087285714286	8.19087285714286
H5	89	1	50.168	28.7086666666667	1400	1394.6704	100	99.6193142857143	0.380685714285704	996.193142857143	9.96193142857143
H6	90	1	91.9296666666667	55.439	1400	2555.64473333333	100	182.546052380952	-82.5460523809524	1825.46052380952	18.2546052380952
H7	91	1	96.9183333333333	67.1586666666667	1400	2694.32966666667	100	192.452119047619	-92.4521190476191	1924.52119047619	19.2452119047619
H8	92	1	86.5506666666667	53.2156666666667	1400	2406.10853333333	100	171.864895238095	-71.8648952380953	1718.64895238095	17.1864895238095
H9	93	1	0.009	-0.00966666666666667	1400	0.2502	100	0.0178714285714286	99.9821285714286	0.178714285714286	0.00178714285714286
H10	94	1	0.406666666666667	0.256	1400	11.3053333333333	100	0.80752380952381	99.1924761904762	8.0752380952381	0.080752380952381
H11	95	1	-0.000333333333333333	-0.006	1400	-0.00926666666666666	100	-0.000661904761904761	100.000661904762	-0.00661904761904761	-6.61904761904761e-05
H12	96	1	-0.00633333333333333	-0.0143333333333333	1400	-0.176066666666667	100	-0.0125761904761905	100.012576190476	-0.125761904761905	-0.00125761904761905
